차종,제조사,모델명
일반승용,현대자동차,Electrified G80 AWD 19인치
일반승용,현대자동차,GV60 스탠다드 2WD 19인치
일반승용,현대자동차,GV60 스탠다드 AWD 19인치
일반승용,현대자동차,GV60 스탠다드 AWD 20인치
일반승용,현대자동차,GV60 퍼포먼스 AWD 21인치
일반승용,현대자동차,Electrified GV70 AWD 20인치
일반승용,현대자동차,Electrified GV70 AWD 19인치
일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치
일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용
일반승용,현대자동차,아이오닉5 2WD 롱레인지 20인치
일반승용,현대자동차,아이오닉5 AWD 롱레인지 19인치
일반승용,현대자동차,아이오닉5 AWD 롱레인지 20인치
일반승용,현대자동차,아이오닉5 2WD 스탠다드 19인치
일반승용,현대자동차,아이오닉5 AWD 스탠다드 19인치
일반승용,현대자동차,아이오닉6 스탠다드 2WD 18인치
일반승용,현대자동차,아이오닉6 롱레인지 2WD 18인치
일반승용,현대자동차,아이오닉6 롱레인지 2WD 20인치
일반승용,현대자동차,아이오닉6 롱레인지 AWD 18인치
일반승용,현대자동차,아이오닉6 롱레인지 AWD 20인치
일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치
일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치
일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치
일반승용,현대자동차,아이오닉5 N
일반승용,현대자동차,더뉴아이오닉5 2WD 19인치 빌트인 캠 미적용
일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치
일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 20인치
일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 20인치
일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 19인치
일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 N라인 20인치
일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 N라인 20인치
일반승용,기아,EV6 스탠다드 2WD 19인치
일반승용,기아,EV6 롱레인지 2WD 20인치
일반승용,기아,EV6 롱레인지 4WD 20인치
일반승용,기아,EV6 롱레인지 2WD 19인치
일반승용,기아,EV6 롱레인지 4WD 19인치
일반승용,기아,EV6 스탠다드 4WD 19인치
일반승용,기아,니로 플러스(DP)
일반승용,기아,The all-new Kia Niro EV(24MY)
일반승용,기아,The all-new Kia Niro EV(25MY)
일반승용,기아,EV6 GT
일반승용,기아,EV9 2WD 19인치
일반승용,기아,EV9 2WD 20인치
일반승용,기아,EV9 4WD 19인치
일반승용,기아,EV9 4WD 21인치
일반승용,기아,EV9 GTL 4WD 21인치
일반승용,기아,더뉴EV6 롱레인지 4WD 20인치
일반승용,기아,더뉴EV6 롱레인지 2WD 20인치
일반승용,기아,더뉴EV6 롱레인지 4WD 19인치
일반승용,기아,더뉴EV6 롱레인지 2WD 19인치
일반승용,기아,EV3 롱레인지 2WD 17인치
일반승용,기아,EV3 롱레인지 2WD 19인치
일반승용,기아,EV3 스탠다드 2WD
일반승용,BMW,iX3 M Sport
일반승용,BMW,i4 eDrive40
일반승용,BMW,i4 M50
일반승용,BMW,iX1 xDrive30
일반승용,테슬라코리아,Model Y RWD(2023)
일반승용,테슬라코리아,Model 3 RWD
일반승용,테슬라코리아,Model 3 Long Range
일반승용,테슬라코리아,Model Y RWD
일반승용,테슬라코리아,Model Y Long Range
일반승용,테슬라코리아,Model Y Performance
일반승용,테슬라코리아,Model 3 Performance(2024)
일반승용,테슬라코리아,Model Y Long Range 19인치
일반승용,메르세데스벤츠코리아,EQB300 4MATIC(Pre-Facelift)(5인승)
일반승용,메르세데스벤츠코리아,EQB300 4MATIC(Pre-Facelift)(7인승)
일반승용,메르세데스벤츠코리아,EQA250(Facelift)
일반승용,메르세데스벤츠코리아,EQB300 4MATIC(Facelift)(5인승)
일반승용,메르세데스벤츠코리아,EQB300 4MATIC(Facelift)(7인승)
일반승용,스텔란티스코리아,Peugeot e-208
일반승용,스텔란티스코리아,Peugeot e-2008 SUV
일반승용,스텔란티스코리아,짚 어벤저
일반승용,아우디폭스바겐코리아,폭스바겐 ID.4 Pro
일반승용,아우디폭스바겐코리아,아우디 Q4 40 e-tron
일반승용,아우디폭스바겐코리아,아우디 Q4 Sportback 40 e-tron
일반승용,케이지모빌리티,토레스 EVX 2WD 18인치
일반승용,케이지모빌리티,토레스 EVX 2WD 20인치
일반승용,케이지모빌리티,코란도 EV 2WD
일반승용,폴스타오토모티브코리아,Polestar 2 Long Range Single Motor(MY23)
일반승용,폴스타오토모티브코리아,Polestar 2 Long Range Dual Motor(MY23)
일반승용,폴스타오토모티브코리아,Polestar 2 Long Range Single Motor(MY24)
일반승용,폴스타오토모티브코리아,Polestar 2 Long Range Dual Motor(MY24)
일반승용,볼보자동차코리아,볼보 C40 Recharge Twin
일반승용,볼보자동차코리아,볼보 XC40 Recharge Twin
일반승용,한국토요타자동차,렉서스 RZ450e
경·소형,기아,레이 EV 2WD 14인치 4인승 승용
경·소형,기아,레이 EV 2WD 14인치 2인승 밴
경·소형,기아,레이 EV 2WD 14인치 1인승 밴
경·소형,현대자동차,캐스퍼 일렉트릭 항속형 17인치
경·소형,현대자동차,캐스퍼 일렉트릭 항속형 15인치
초소형,마이브,마이브 M1
초소형,쎄보모빌리티,CEVO-C SE
초소형,쎄보모빌리티,CEVO-C SE VAN
